PPN;EPN;VD;Jahr
151692041;12480554X;;1750
151692033;124805531;;1750
151072078;124074537;;1750
151009139;124003486;;1750
150886314;123863643;;1750
150690819;123647746;;1750
150600135;123540003;;1750
150600127;123539994;;1750
150344554;123234794;;1750
150344546;123234786;;1750
150256248;123135818;;1750
150225261;123098858;;1750
150180705;123044448;;1750
150180691;12304443X;;1750
147571855;;;1750
147025761;;;1750
144173697;;;1750
13797924X;;;1750
137683421;1367491932;;1750
134320123;;;1750
058242910;26449105X;;1750
1489672575;;;1749
1489243690;;;1749
1131124170;;;1749
1111707553;;;1749
1109752407;;;1749
1109344554;;;1749
1107191866;;;1749
1103477420;;;1749
1103409352;;;1749
1100342648;;;1749
1090867085;;;1749
1090787200;;;1749
1089750560;;;1749
1020758309;;;1749
1012603075;;;1749
1012558045;;;1749
877878773;;;1749
87767678X;;;1749
866889159;;;1749
84839478X;;;1749
848359526;;;1749
83373122X;;;1749
833709313;;;1749
833681362;;;1749
833681133;;;1749
774976306;;;1749
774964111;;;1749
774964103;;;1749
774903910;;;1749
769074707;;;1749
732257050;;;1749
683627252;;;1749
683625861;;;1749
68361987X;;;1749
683605232;;;1749
683604783;;;1749
683592696;;;1749
654499799;;;1749
654499187;;;1749
654494010;;;1749
632174935;1174840021;;1749
61841875X;1113275480;;1749
608217859;946591091;;1749
595705235;928231356;;1749
568864417;877792518;;1749
568342704;876686897;;1749
568299477;876577834;;1749
568296451;876567073;;1749
528518429;818621869;;1749
518690768;818784350;;1749
477665365;;;1749
454884761;;;1749
450170926;;;1749
443975582;;;1749
314419195;;;1749
230638406;;;1749
222685077;225994569;;1749
181081962;142206261;;1749
159393361;1164800132;;1749
152837647;126637180;;1749
151562547;12464189X;;1749
151093385;124098576;;1749
151093377;124098568;;1749
150972628;1209560798;;1749
150828365;1163385379;;1749
150725299;123686776;;1749
150600208;123540070;;1749
150344538;123234778;;1749
150128630;122970489;;1749
150122268;122962575;;1749
137979177;937318590;;1749
137714297;223631655;;1749
13478863X;;;1749
130101109;333889533;;1749
065435060;;;1749
058389296;;;1749
05823294X;263226492;;1749
058156488;1241084866;;1749
1489687653;;;1748
1489502181;;;1748
1489245480;;;1748
1129290492;;;1748
1121085962;;;1748
1118635418;;;1748
1107191920;;;1748
1101074256;;;1748
1100658394;;;1748
1100186123;;;1748
1093194049;;;1748
1090412363;;;1748
1089636504;;;1748
1012551415;;;1748
87562958X;;;1748
875232906;;;1748
866881581;;;1748
848359577;;;1748
845280872;;;1748
845279084;;;1748
845275852;;;1748
845196995;;;1748
833689452;;;1748
817987487;;;1748
798293411;;;1748
776322338;;;1748
775020230;;;1748
775001554;;;1748
774975822;;;1748
774975814;;;1748
774964049;;;1748
774937211;;;1748
774917059;;;1748
774913312;;;1748
771210647;;;1748
737266244;;;1748
732264561;;;1748
732256976;;;1748
722402813;;;1748
722401914;;;1748
683685678;;;1748
